Genes	Modules
ENSMUSG00000038816	midnightblue
ENSMUSG00000038936	midnightblue
ENSMUSG00000039910	midnightblue
ENSMUSG00000040013	midnightblue
ENSMUSG00000041642	midnightblue
ENSMUSG00000042406	midnightblue
ENSMUSG00000043091	midnightblue
ENSMUSG00000044477	midnightblue
ENSMUSG00000046707	midnightblue
ENSMUSG00000046711	midnightblue
ENSMUSG00000047731	midnightblue
ENSMUSG00000048756	midnightblue
ENSMUSG00000050390	midnightblue
ENSMUSG00000051495	midnightblue
ENSMUSG00000051934	midnightblue
ENSMUSG00000052684	midnightblue
ENSMUSG00000052837	midnightblue
ENSMUSG00000054793	midnightblue
ENSMUSG00000055239	midnightblue
ENSMUSG00000055681	midnightblue
ENSMUSG00000056211	midnightblue
ENSMUSG00000056962	midnightblue
ENSMUSG00000058407	midnightblue
ENSMUSG00000058569	midnightblue
ENSMUSG00000059182	midnightblue
ENSMUSG00000059796	midnightblue
ENSMUSG00000060126	midnightblue
ENSMUSG00000060904	midnightblue
ENSMUSG00000062070	midnightblue
ENSMUSG00000062380	midnightblue
ENSMUSG00000063065	midnightblue
ENSMUSG00000063229	midnightblue
ENSMUSG00000063524	midnightblue
ENSMUSG00000063760	midnightblue
ENSMUSG00000068739	midnightblue
ENSMUSG00000070934	midnightblue
ENSMUSG00000073177	midnightblue
ENSMUSG00000073639	midnightblue
ENSMUSG00000078566	midnightblue
ENSMUSG00000079426	midnightblue
ENSMUSG00000079562	midnightblue
ENSMUSG00000090213	midnightblue
ENSMUSG00000090698	midnightblue
ENSMUSG00000096210	midnightblue
ENSMUSG00000109324	midnightblue
ENSMUSG00000006740	magenta
ENSMUSG00000010608	magenta
ENSMUSG00000018501	magenta
ENSMUSG00000019852	magenta
ENSMUSG00000020074	magenta
ENSMUSG00000020530	magenta
ENSMUSG00000020863	magenta
ENSMUSG00000020949	magenta
ENSMUSG00000021282	magenta
ENSMUSG00000022629	magenta
ENSMUSG00000022708	magenta
ENSMUSG00000024002	magenta
ENSMUSG00000024197	magenta
ENSMUSG00000025979	magenta
ENSMUSG00000026020	magenta
ENSMUSG00000026083	magenta
ENSMUSG00000026353	magenta
ENSMUSG00000026374	magenta
ENSMUSG00000026434	magenta
ENSMUSG00000027012	magenta
ENSMUSG00000027620	magenta
ENSMUSG00000027706	magenta
ENSMUSG00000028788	magenta
ENSMUSG00000030180	magenta
ENSMUSG00000031232	magenta
ENSMUSG00000031392	magenta
ENSMUSG00000032076	magenta
ENSMUSG00000032212	magenta
ENSMUSG00000032407	magenta
ENSMUSG00000033499	magenta
ENSMUSG00000034349	magenta
ENSMUSG00000035569	magenta
ENSMUSG00000036309	magenta
ENSMUSG00000042133	magenta
ENSMUSG00000055204	magenta
ENSMUSG00000055436	magenta
ENSMUSG00000063273	magenta
ENSMUSG00000070544	magenta
ENSMUSG00000094483	magenta
ENSMUSG00000000058	grey
ENSMUSG00000000171	grey
ENSMUSG00000000184	grey
ENSMUSG00000000278	grey
ENSMUSG00000000346	grey
ENSMUSG00000000751	grey
ENSMUSG00000001123	grey
ENSMUSG00000001248	grey
ENSMUSG00000001418	grey
ENSMUSG00000001424	grey
ENSMUSG00000001441	grey
ENSMUSG00000001467	grey
ENSMUSG00000001506	grey
ENSMUSG00000001525	grey
ENSMUSG00000001750	grey
ENSMUSG00000001751	grey
ENSMUSG00000001783	grey
ENSMUSG00000001891	grey
ENSMUSG00000001910	grey
ENSMUSG00000002015	grey
ENSMUSG00000002102	grey
ENSMUSG00000002147	grey
ENSMUSG00000002524	grey
ENSMUSG00000002602	grey
ENSMUSG00000002985	grey
ENSMUSG00000003316	grey
ENSMUSG00000003345	grey
ENSMUSG00000003528	grey
ENSMUSG00000003617	grey
ENSMUSG00000003814	grey
ENSMUSG00000004044	grey
ENSMUSG00000004056	grey
ENSMUSG00000004460	grey
ENSMUSG00000004626	grey
ENSMUSG00000004665	grey
ENSMUSG00000004789	grey
ENSMUSG00000004980	grey
ENSMUSG00000005054	grey
ENSMUSG00000005087	grey
ENSMUSG00000005683	grey
ENSMUSG00000005981	grey
ENSMUSG00000006273	grey
ENSMUSG00000006373	grey
ENSMUSG00000006498	grey
ENSMUSG00000006728	grey
ENSMUSG00000007739	grey
ENSMUSG00000007815	grey
ENSMUSG00000007836	grey
ENSMUSG00000007880	grey
ENSMUSG00000007891	grey
ENSMUSG00000008475	grey
ENSMUSG00000008575	grey
ENSMUSG00000008690	grey
