Genes	Modules
ENSMUSG00000031059	darkorange
ENSMUSG00000031068	darkorange
ENSMUSG00000031198	darkorange
ENSMUSG00000031231	darkorange
ENSMUSG00000031320	darkorange
ENSMUSG00000031818	darkorange
ENSMUSG00000031839	darkorange
ENSMUSG00000032249	darkorange
ENSMUSG00000032301	darkorange
ENSMUSG00000032324	darkorange
ENSMUSG00000032330	darkorange
ENSMUSG00000032348	darkorange
ENSMUSG00000032418	darkorange
ENSMUSG00000032518	darkorange
ENSMUSG00000032526	darkorange
ENSMUSG00000032562	darkorange
ENSMUSG00000032959	darkorange
ENSMUSG00000033208	darkorange
ENSMUSG00000033307	darkorange
ENSMUSG00000033940	darkorange
ENSMUSG00000034566	darkorange
ENSMUSG00000034892	darkorange
ENSMUSG00000035242	darkorange
ENSMUSG00000035885	darkorange
ENSMUSG00000035890	darkorange
ENSMUSG00000036199	darkorange
ENSMUSG00000036751	darkorange
ENSMUSG00000036781	darkorange
ENSMUSG00000037563	darkorange
ENSMUSG00000037805	darkorange
ENSMUSG00000037916	darkorange
ENSMUSG00000038155	darkorange
ENSMUSG00000038274	darkorange
ENSMUSG00000038412	darkorange
ENSMUSG00000038633	darkorange
ENSMUSG00000038690	darkorange
ENSMUSG00000038776	darkorange
ENSMUSG00000038900	darkorange
ENSMUSG00000039001	darkorange
ENSMUSG00000039640	darkorange
ENSMUSG00000040952	darkorange
ENSMUSG00000041203	darkorange
ENSMUSG00000041453	darkorange
ENSMUSG00000041697	darkorange
ENSMUSG00000041841	darkorange
ENSMUSG00000042541	darkorange
ENSMUSG00000043445	darkorange
ENSMUSG00000043716	darkorange
ENSMUSG00000044533	darkorange
ENSMUSG00000044627	darkorange
ENSMUSG00000044894	darkorange
ENSMUSG00000045128	darkorange
ENSMUSG00000046330	darkorange
ENSMUSG00000046364	darkorange
ENSMUSG00000047215	darkorange
ENSMUSG00000047459	darkorange
ENSMUSG00000047675	darkorange
ENSMUSG00000047945	darkorange
ENSMUSG00000048277	darkorange
ENSMUSG00000048758	darkorange
ENSMUSG00000049422	darkorange
ENSMUSG00000049517	darkorange
ENSMUSG00000050608	darkorange
ENSMUSG00000050708	darkorange
ENSMUSG00000051159	darkorange
ENSMUSG00000052310	darkorange
ENSMUSG00000052738	darkorange
ENSMUSG00000053332	darkorange
ENSMUSG00000053565	darkorange
ENSMUSG00000054452	darkorange
ENSMUSG00000055302	darkorange
ENSMUSG00000055762	darkorange
ENSMUSG00000055839	darkorange
ENSMUSG00000056201	darkorange
ENSMUSG00000056737	darkorange
ENSMUSG00000057322	darkorange
ENSMUSG00000057666	darkorange
ENSMUSG00000057841	darkorange
ENSMUSG00000057863	darkorange
ENSMUSG00000058076	darkorange
ENSMUSG00000058558	darkorange
ENSMUSG00000058600	darkorange
ENSMUSG00000059070	darkorange
ENSMUSG00000059291	darkorange
ENSMUSG00000060036	darkorange
ENSMUSG00000060073	darkorange
ENSMUSG00000060636	darkorange
ENSMUSG00000060803	darkorange
ENSMUSG00000060938	darkorange
ENSMUSG00000060992	darkorange
ENSMUSG00000061232	darkorange
ENSMUSG00000061315	darkorange
ENSMUSG00000061477	darkorange
ENSMUSG00000061518	darkorange
ENSMUSG00000061787	darkorange
ENSMUSG00000061904	darkorange
ENSMUSG00000061983	darkorange
ENSMUSG00000062006	darkorange
ENSMUSG00000062328	darkorange
ENSMUSG00000062580	darkorange
ENSMUSG00000062647	darkorange
ENSMUSG00000062997	darkorange
ENSMUSG00000063316	darkorange
ENSMUSG00000063457	darkorange
ENSMUSG00000063882	darkorange
ENSMUSG00000064339	darkorange
ENSMUSG00000067274	darkorange
ENSMUSG00000067288	darkorange
ENSMUSG00000068220	darkorange
ENSMUSG00000068328	darkorange
ENSMUSG00000068874	darkorange
ENSMUSG00000069744	darkorange
ENSMUSG00000070493	darkorange
ENSMUSG00000071076	darkorange
ENSMUSG00000071415	darkorange
ENSMUSG00000071528	darkorange
ENSMUSG00000072235	darkorange
ENSMUSG00000073676	darkorange
ENSMUSG00000073702	darkorange
ENSMUSG00000074578	darkorange
ENSMUSG00000074656	darkorange
ENSMUSG00000075706	darkorange
ENSMUSG00000079435	darkorange
ENSMUSG00000079523	darkorange
ENSMUSG00000079641	darkorange
ENSMUSG00000079658	darkorange
ENSMUSG00000090733	darkorange
ENSMUSG00000090841	darkorange
ENSMUSG00000090862	darkorange
ENSMUSG00000093674	darkorange
ENSMUSG00000115783	darkorange
ENSMUSG00000000078	cyan
ENSMUSG00000000093	cyan
ENSMUSG00000000131	cyan
ENSMUSG00000000743	cyan
ENSMUSG00000001211	cyan
ENSMUSG00000001416	cyan
ENSMUSG00000001847	cyan
ENSMUSG00000002546	cyan
ENSMUSG00000002741	cyan
ENSMUSG00000002981	cyan
ENSMUSG00000003458	cyan
ENSMUSG00000004455	cyan
ENSMUSG00000004936	cyan
ENSMUSG00000005142	cyan
ENSMUSG00000005846	cyan
ENSMUSG00000006494	cyan
ENSMUSG00000007029	cyan
ENSMUSG00000007411	cyan
ENSMUSG00000009079	cyan
ENSMUSG00000009418	cyan
ENSMUSG00000009907	cyan
ENSMUSG00000010095	cyan
ENSMUSG00000010097	cyan
ENSMUSG00000011179	cyan
ENSMUSG00000014077	cyan
ENSMUSG00000014349	cyan
ENSMUSG00000014867	cyan
ENSMUSG00000015120	cyan
ENSMUSG00000015291	cyan
ENSMUSG00000015749	cyan
ENSMUSG00000015755	cyan
ENSMUSG00000016319	cyan
ENSMUSG00000016528	cyan
ENSMUSG00000016664	cyan
ENSMUSG00000017386	cyan
ENSMUSG00000017721	cyan
ENSMUSG00000017843	cyan
ENSMUSG00000018848	cyan
ENSMUSG00000020029	cyan
ENSMUSG00000020265	cyan
ENSMUSG00000020349	cyan
ENSMUSG00000020430	cyan
ENSMUSG00000020538	cyan
ENSMUSG00000020611	cyan
ENSMUSG00000020646	cyan
ENSMUSG00000020664	cyan
ENSMUSG00000020694	cyan
ENSMUSG00000020705	cyan
ENSMUSG00000020893	cyan
ENSMUSG00000020946	cyan
ENSMUSG00000020964	cyan
ENSMUSG00000021000	cyan
ENSMUSG00000021096	cyan
ENSMUSG00000021097	cyan
ENSMUSG00000021140	cyan
ENSMUSG00000021144	cyan
ENSMUSG00000021196	cyan
ENSMUSG00000021264	cyan
ENSMUSG00000021595	cyan
ENSMUSG00000021832	cyan
ENSMUSG00000021890	cyan
ENSMUSG00000022051	cyan
ENSMUSG00000022241	cyan
ENSMUSG00000022285	cyan
ENSMUSG00000022378	cyan
ENSMUSG00000022415	cyan
ENSMUSG00000022607	cyan
ENSMUSG00000022757	cyan
ENSMUSG00000022800	cyan
ENSMUSG00000022808	cyan
ENSMUSG00000023018	cyan
ENSMUSG00000023034	cyan
ENSMUSG00000023307	cyan
ENSMUSG00000023952	cyan
ENSMUSG00000024335	cyan
ENSMUSG00000024360	cyan
ENSMUSG00000024392	cyan
ENSMUSG00000024498	cyan
ENSMUSG00000024576	cyan
ENSMUSG00000024587	cyan
ENSMUSG00000024597	cyan
ENSMUSG00000024853	cyan
ENSMUSG00000024940	cyan
ENSMUSG00000024941	cyan
ENSMUSG00000024949	cyan
ENSMUSG00000025132	cyan
ENSMUSG00000025139	cyan
ENSMUSG00000025199	cyan
ENSMUSG00000025220	cyan
ENSMUSG00000025223	cyan
ENSMUSG00000025228	cyan
ENSMUSG00000025403	cyan
ENSMUSG00000025428	cyan
ENSMUSG00000025609	cyan
ENSMUSG00000025613	cyan
ENSMUSG00000025982	cyan
ENSMUSG00000026034	cyan
ENSMUSG00000026103	cyan
ENSMUSG00000026123	cyan
ENSMUSG00000026305	cyan
ENSMUSG00000026356	cyan
ENSMUSG00000026553	cyan
ENSMUSG00000027007	cyan
ENSMUSG00000027011	cyan
ENSMUSG00000027030	cyan
ENSMUSG00000027108	cyan
ENSMUSG00000027195	cyan
ENSMUSG00000027288	cyan
ENSMUSG00000027466	cyan
ENSMUSG00000027642	cyan
ENSMUSG00000027646	cyan
ENSMUSG00000027803	cyan
ENSMUSG00000027823	cyan
ENSMUSG00000027828	cyan
ENSMUSG00000027829	cyan
ENSMUSG00000028156	cyan
ENSMUSG00000028409	cyan
ENSMUSG00000028577	cyan
ENSMUSG00000028639	cyan
ENSMUSG00000028796	cyan
ENSMUSG00000028849	cyan
ENSMUSG00000028869	cyan
ENSMUSG00000028920	cyan
ENSMUSG00000029131	cyan
ENSMUSG00000029152	cyan
ENSMUSG00000029176	cyan
ENSMUSG00000029201	cyan
ENSMUSG00000029227	cyan
ENSMUSG00000029364	cyan
ENSMUSG00000029407	cyan
ENSMUSG00000029426	cyan
ENSMUSG00000029777	cyan
ENSMUSG00000030057	cyan
ENSMUSG00000030088	cyan
ENSMUSG00000030204	cyan
ENSMUSG00000030216	cyan
ENSMUSG00000030323	cyan
ENSMUSG00000030374	cyan
ENSMUSG00000030704	cyan
ENSMUSG00000030718	cyan
ENSMUSG00000030738	cyan
ENSMUSG00000030824	cyan
ENSMUSG00000030884	cyan
ENSMUSG00000030967	cyan
ENSMUSG00000031078	cyan
ENSMUSG00000031167	cyan
ENSMUSG00000031197	cyan
ENSMUSG00000031422	cyan
ENSMUSG00000031672	cyan
ENSMUSG00000031701	cyan
ENSMUSG00000031751	cyan
ENSMUSG00000031960	cyan
ENSMUSG00000032042	cyan
ENSMUSG00000032096	cyan
ENSMUSG00000032294	cyan
ENSMUSG00000032388	cyan
ENSMUSG00000032435	cyan
ENSMUSG00000032437	cyan
ENSMUSG00000032458	cyan
ENSMUSG00000032554	cyan
ENSMUSG00000032604	cyan
ENSMUSG00000032612	cyan
ENSMUSG00000032667	cyan
ENSMUSG00000032998	cyan
ENSMUSG00000033326	cyan
ENSMUSG00000033813	cyan
ENSMUSG00000034024	cyan
ENSMUSG00000034168	cyan
ENSMUSG00000034269	cyan
ENSMUSG00000034706	cyan
ENSMUSG00000034855	cyan
ENSMUSG00000034994	cyan
ENSMUSG00000035621	cyan
ENSMUSG00000036438	cyan
ENSMUSG00000036693	cyan
ENSMUSG00000036817	cyan
ENSMUSG00000037012	cyan
ENSMUSG00000037149	cyan
ENSMUSG00000037487	cyan
ENSMUSG00000037712	cyan
ENSMUSG00000037896	cyan
ENSMUSG00000038280	cyan
ENSMUSG00000038324	cyan
ENSMUSG00000038371	cyan
ENSMUSG00000038429	cyan
ENSMUSG00000038612	cyan
ENSMUSG00000038780	cyan
ENSMUSG00000038855	cyan
ENSMUSG00000039263	cyan
ENSMUSG00000039844	cyan
ENSMUSG00000040462	cyan
ENSMUSG00000040667	cyan
ENSMUSG00000040675	cyan
ENSMUSG00000040690	cyan
ENSMUSG00000041168	cyan
ENSMUSG00000041815	cyan
ENSMUSG00000042506	cyan
ENSMUSG00000042572	cyan
ENSMUSG00000042650	cyan
ENSMUSG00000044221	cyan
ENSMUSG00000045294	cyan
ENSMUSG00000045896	cyan
ENSMUSG00000046897	cyan
ENSMUSG00000047554	cyan
ENSMUSG00000047881	cyan
ENSMUSG00000048076	cyan
ENSMUSG00000049878	cyan
ENSMUSG00000050812	cyan
ENSMUSG00000050910	cyan
ENSMUSG00000052397	cyan
ENSMUSG00000052752	cyan
ENSMUSG00000053119	cyan
ENSMUSG00000053470	cyan
ENSMUSG00000056305	cyan
ENSMUSG00000056537	cyan
ENSMUSG00000056692	cyan
ENSMUSG00000057561	cyan
ENSMUSG00000059119	cyan
ENSMUSG00000062270	cyan
ENSMUSG00000063511	cyan
ENSMUSG00000066150	cyan
ENSMUSG00000068039	cyan
ENSMUSG00000068882	cyan
ENSMUSG00000069565	cyan
ENSMUSG00000070923	cyan
ENSMUSG00000074794	cyan
ENSMUSG00000078671	cyan
ENSMUSG00000078812	cyan
ENSMUSG00000111394	cyan
ENSMUSG00000000711	blue
ENSMUSG00000000957	blue
ENSMUSG00000001175	blue
ENSMUSG00000001687	blue
ENSMUSG00000002107	blue
ENSMUSG00000002372	blue
ENSMUSG00000002748	blue
ENSMUSG00000002870	blue
ENSMUSG00000003099	blue
ENSMUSG00000003360	blue
ENSMUSG00000003721	blue
ENSMUSG00000004099	blue
ENSMUSG00000004207	blue
ENSMUSG00000004865	blue
ENSMUSG00000004872	blue
ENSMUSG00000005410	blue
ENSMUSG00000005698	blue
ENSMUSG00000005994	blue
ENSMUSG00000006369	blue
ENSMUSG00000006932	blue
ENSMUSG00000006998	blue
ENSMUSG00000009376	blue
ENSMUSG00000009575	blue
ENSMUSG00000010277	blue
ENSMUSG00000010663	blue
ENSMUSG00000012443	blue
ENSMUSG00000013236	blue
ENSMUSG00000016018	blue
ENSMUSG00000017146	blue
ENSMUSG00000017485	blue
ENSMUSG00000017756	blue
ENSMUSG00000017776	blue
ENSMUSG00000017781	blue
ENSMUSG00000018362	blue
ENSMUSG00000018965	blue
ENSMUSG00000019124	blue
ENSMUSG00000019132	blue
ENSMUSG00000019810	blue
ENSMUSG00000019907	blue
ENSMUSG00000019998	blue
ENSMUSG00000020014	blue
ENSMUSG00000020091	blue
ENSMUSG00000020132	blue
ENSMUSG00000020190	blue
ENSMUSG00000020257	blue
ENSMUSG00000020315	blue
ENSMUSG00000020456	blue
ENSMUSG00000020661	blue
ENSMUSG00000020821	blue
ENSMUSG00000020914	blue
ENSMUSG00000020917	blue
ENSMUSG00000021036	blue
ENSMUSG00000021111	blue
ENSMUSG00000021127	blue
ENSMUSG00000021186	blue
ENSMUSG00000021413	blue
ENSMUSG00000021500	blue
ENSMUSG00000021540	blue
ENSMUSG00000021577	blue
ENSMUSG00000021670	blue
ENSMUSG00000022129	blue
ENSMUSG00000022185	blue
ENSMUSG00000022243	blue
ENSMUSG00000022295	blue
ENSMUSG00000022360	blue
ENSMUSG00000022394	blue
ENSMUSG00000022403	blue
ENSMUSG00000022425	blue
ENSMUSG00000022469	blue
ENSMUSG00000022557	blue
ENSMUSG00000022673	blue
ENSMUSG00000022747	blue
ENSMUSG00000022797	blue
ENSMUSG00000022841	blue
ENSMUSG00000022885	blue
ENSMUSG00000022961	blue
ENSMUSG00000022965	blue
ENSMUSG00000023022	blue
ENSMUSG00000023030	blue
ENSMUSG00000023150	blue
ENSMUSG00000024097	blue
ENSMUSG00000024120	blue
ENSMUSG00000024589	blue
ENSMUSG00000024590	blue
ENSMUSG00000024665	blue
ENSMUSG00000024758	blue
ENSMUSG00000024782	blue
ENSMUSG00000024991	blue
ENSMUSG00000025153	blue
ENSMUSG00000025358	blue
ENSMUSG00000025359	blue
ENSMUSG00000025409	blue
ENSMUSG00000025823	blue
ENSMUSG00000025932	blue
ENSMUSG00000025950	blue
ENSMUSG00000025980	blue
ENSMUSG00000026192	blue
ENSMUSG00000026303	blue
ENSMUSG00000026355	blue
ENSMUSG00000026473	blue
ENSMUSG00000026496	blue
ENSMUSG00000026740	blue
ENSMUSG00000026814	blue
ENSMUSG00000027200	blue
ENSMUSG00000027469	blue
ENSMUSG00000027894	blue
ENSMUSG00000028020	blue
ENSMUSG00000028221	blue
ENSMUSG00000028410	blue
ENSMUSG00000028452	blue
ENSMUSG00000028698	blue
ENSMUSG00000028790	blue
ENSMUSG00000028917	blue
ENSMUSG00000029167	blue
ENSMUSG00000029687	blue
ENSMUSG00000029730	blue
ENSMUSG00000029998	blue
ENSMUSG00000030016	blue
ENSMUSG00000030084	blue
ENSMUSG00000030168	blue
ENSMUSG00000030213	blue
ENSMUSG00000030231	blue
ENSMUSG00000030313	blue
ENSMUSG00000030329	blue
ENSMUSG00000030523	blue
ENSMUSG00000030541	blue
ENSMUSG00000030616	blue
ENSMUSG00000030654	blue
ENSMUSG00000030761	blue
ENSMUSG00000030894	blue
ENSMUSG00000030934	blue
ENSMUSG00000030956	blue
ENSMUSG00000030978	blue
ENSMUSG00000031004	blue
ENSMUSG00000031065	blue
ENSMUSG00000031229	blue
ENSMUSG00000031311	blue
ENSMUSG00000031441	blue
ENSMUSG00000031453	blue
ENSMUSG00000031592	blue
ENSMUSG00000031938	blue
ENSMUSG00000032097	blue
ENSMUSG00000032115	blue
ENSMUSG00000032187	blue
ENSMUSG00000032193	blue
ENSMUSG00000032199	blue
ENSMUSG00000032349	blue
ENSMUSG00000032382	blue
ENSMUSG00000032412	blue
ENSMUSG00000032580	blue
ENSMUSG00000032777	blue
ENSMUSG00000032883	blue
ENSMUSG00000033059	blue
ENSMUSG00000033174	blue
ENSMUSG00000033596	blue
ENSMUSG00000034160	blue
ENSMUSG00000034593	blue
ENSMUSG00000034707	blue
ENSMUSG00000034708	blue
ENSMUSG00000034926	blue
ENSMUSG00000035158	blue
ENSMUSG00000035183	blue
ENSMUSG00000035245	blue
ENSMUSG00000035247	blue
ENSMUSG00000035726	blue
ENSMUSG00000036046	blue
ENSMUSG00000036155	blue
ENSMUSG00000036622	blue
ENSMUSG00000037266	blue
ENSMUSG00000037470	blue
ENSMUSG00000037902	blue
ENSMUSG00000038014	blue
ENSMUSG00000038252	blue
ENSMUSG00000038366	blue
ENSMUSG00000038393	blue
ENSMUSG00000038482	blue
ENSMUSG00000038526	blue
ENSMUSG00000038615	blue
ENSMUSG00000038943	blue
ENSMUSG00000039218	blue
ENSMUSG00000039275	blue
ENSMUSG00000039298	blue
ENSMUSG00000039501	blue
ENSMUSG00000039691	blue
ENSMUSG00000039904	blue
ENSMUSG00000040225	blue
ENSMUSG00000040296	blue
ENSMUSG00000040548	blue
ENSMUSG00000040605	blue
ENSMUSG00000040785	blue
ENSMUSG00000040842	blue
ENSMUSG00000040945	blue
ENSMUSG00000041720	blue
ENSMUSG00000041773	blue
ENSMUSG00000041879	blue
ENSMUSG00000042046	blue
ENSMUSG00000042444	blue
ENSMUSG00000043411	blue
ENSMUSG00000044783	blue
ENSMUSG00000045767	blue
ENSMUSG00000045983	blue
ENSMUSG00000046879	blue
ENSMUSG00000047735	blue
ENSMUSG00000048578	blue
ENSMUSG00000048782	blue
ENSMUSG00000049044	blue
ENSMUSG00000049354	blue
ENSMUSG00000051586	blue
ENSMUSG00000052459	blue
ENSMUSG00000052512	blue
ENSMUSG00000053436	blue
ENSMUSG00000053907	blue
ENSMUSG00000054604	blue
ENSMUSG00000054693	blue
ENSMUSG00000055065	blue
ENSMUSG00000055720	blue
ENSMUSG00000056999	blue
ENSMUSG00000057406	blue
ENSMUSG00000057738	blue
ENSMUSG00000058325	blue
ENSMUSG00000058454	blue
ENSMUSG00000058655	blue
ENSMUSG00000060261	blue
ENSMUSG00000061838	blue
ENSMUSG00000062203	blue
ENSMUSG00000062397	blue
ENSMUSG00000063450	blue
ENSMUSG00000064345	blue
ENSMUSG00000064367	blue
ENSMUSG00000064373	blue
ENSMUSG00000066306	blue
ENSMUSG00000066357	blue
ENSMUSG00000066979	blue
ENSMUSG00000068267	blue
ENSMUSG00000068566	blue
ENSMUSG00000068747	blue
ENSMUSG00000070003	blue
ENSMUSG00000070327	blue
ENSMUSG00000071042	blue
ENSMUSG00000071650	blue
ENSMUSG00000071659	blue
ENSMUSG00000074748	blue
ENSMUSG00000074785	blue
ENSMUSG00000078670	blue
ENSMUSG00000089774	blue
ENSMUSG00000093904	blue
ENSMUSG00000093930	blue
ENSMUSG00000110631	blue
ENSMUSG00000000001	black
ENSMUSG00000000420	black
ENSMUSG00000000538	black
ENSMUSG00000000568	black
ENSMUSG00000000594	black
ENSMUSG00000000787	black
ENSMUSG00000000838	black
ENSMUSG00000001017	black
ENSMUSG00000001228	black
ENSMUSG00000001280	black
ENSMUSG00000001419	black
ENSMUSG00000001440	black
ENSMUSG00000001517	black
ENSMUSG00000001521	black
ENSMUSG00000001729	black
ENSMUSG00000001833	black
ENSMUSG00000001924	black
ENSMUSG00000002052	black
ENSMUSG00000002129	black
ENSMUSG00000002222	black
ENSMUSG00000002718	black
ENSMUSG00000002733	black
ENSMUSG00000003038	black
ENSMUSG00000003131	black
ENSMUSG00000003660	black
ENSMUSG00000003810	black
ENSMUSG00000004054	black
ENSMUSG00000004364	black
ENSMUSG00000004530	black
ENSMUSG00000004535	black
ENSMUSG00000004651	black
ENSMUSG00000005034	black
ENSMUSG00000005103	black
ENSMUSG00000005198	black
ENSMUSG00000005312	black
ENSMUSG00000005417	black
ENSMUSG00000005442	black
ENSMUSG00000005506	black
ENSMUSG00000005566	black
ENSMUSG00000005610	black
ENSMUSG00000006005	black
ENSMUSG00000006599	black
ENSMUSG00000006676	black
ENSMUSG00000006930	black
ENSMUSG00000007415	black
ENSMUSG00000007458	black
ENSMUSG00000007670	black
ENSMUSG00000007850	black
ENSMUSG00000009073	black
ENSMUSG00000009470	black
ENSMUSG00000009741	black
ENSMUSG00000011877	black
ENSMUSG00000011958	black
ENSMUSG00000012535	black
ENSMUSG00000013076	black
ENSMUSG00000013662	black
ENSMUSG00000013663	black
ENSMUSG00000013787	black
ENSMUSG00000014353	black
ENSMUSG00000014355	black
ENSMUSG00000014361	black
ENSMUSG00000014496	black
ENSMUSG00000014956	black
ENSMUSG00000015002	black
ENSMUSG00000015112	black
ENSMUSG00000015305	black
ENSMUSG00000015341	black
ENSMUSG00000015733	black
ENSMUSG00000015766	black
ENSMUSG00000015839	black
ENSMUSG00000015932	black
ENSMUSG00000016257	black
ENSMUSG00000016534	black
ENSMUSG00000016921	black
ENSMUSG00000016933	black
ENSMUSG00000017119	black
ENSMUSG00000017421	black
ENSMUSG00000017548	black
ENSMUSG00000017707	black
ENSMUSG00000017774	black
ENSMUSG00000018209	black
ENSMUSG00000018398	black
ENSMUSG00000018481	black
ENSMUSG00000018707	black
ENSMUSG00000019302	black
ENSMUSG00000019802	black
ENSMUSG00000019817	black
ENSMUSG00000019818	black
ENSMUSG00000019873	black
ENSMUSG00000019877	black
ENSMUSG00000019920	black
ENSMUSG00000019961	black
ENSMUSG00000019978	black
ENSMUSG00000020075	black
ENSMUSG00000020078	black
ENSMUSG00000020097	black
ENSMUSG00000020114	black
ENSMUSG00000020149	black
ENSMUSG00000020152	black
ENSMUSG00000020198	black
ENSMUSG00000020250	black
ENSMUSG00000020290	black
ENSMUSG00000020358	black
ENSMUSG00000020362	black
ENSMUSG00000020422	black
ENSMUSG00000020473	black
ENSMUSG00000020598	black
ENSMUSG00000020608	black
ENSMUSG00000020612	black
ENSMUSG00000020687	black
ENSMUSG00000020716	black
ENSMUSG00000020719	black
ENSMUSG00000020745	black
ENSMUSG00000020850	black
ENSMUSG00000020869	black
ENSMUSG00000020923	black
ENSMUSG00000021012	black
ENSMUSG00000021072	black
ENSMUSG00000021109	black
ENSMUSG00000021116	black
ENSMUSG00000021134	black
ENSMUSG00000021156	black
ENSMUSG00000021193	black
ENSMUSG00000021218	black
ENSMUSG00000021248	black
ENSMUSG00000021279	black
ENSMUSG00000021377	black
ENSMUSG00000021427	black
ENSMUSG00000021546	black
ENSMUSG00000021610	black
ENSMUSG00000021686	black
ENSMUSG00000021709	black
ENSMUSG00000021794	black
ENSMUSG00000021819	black
ENSMUSG00000021824	black
ENSMUSG00000021843	black
ENSMUSG00000021870	black
ENSMUSG00000021877	black
ENSMUSG00000022091	black
ENSMUSG00000022108	black
ENSMUSG00000022139	black
ENSMUSG00000022201	black
ENSMUSG00000022272	black
ENSMUSG00000022314	black
ENSMUSG00000022350	black
ENSMUSG00000022387	black
ENSMUSG00000022390	black
ENSMUSG00000022438	black
ENSMUSG00000022443	black
ENSMUSG00000022462	black
ENSMUSG00000022533	black
ENSMUSG00000022698	black
ENSMUSG00000022752	black
ENSMUSG00000022781	black
ENSMUSG00000022789	black
ENSMUSG00000022812	black
ENSMUSG00000022892	black
ENSMUSG00000023025	black
ENSMUSG00000023068	black
ENSMUSG00000023169	black
ENSMUSG00000024045	black
ENSMUSG00000024063	black
ENSMUSG00000024085	black
ENSMUSG00000024095	black
ENSMUSG00000024104	black
ENSMUSG00000024294	black
ENSMUSG00000024393	black
ENSMUSG00000024640	black
ENSMUSG00000024695	black
ENSMUSG00000024740	black
ENSMUSG00000024750	black
ENSMUSG00000024759	black
ENSMUSG00000024781	black
ENSMUSG00000024811	black
ENSMUSG00000024812	black
ENSMUSG00000024908	black
ENSMUSG00000025016	black
ENSMUSG00000025060	black
ENSMUSG00000025234	black
ENSMUSG00000025246	black
ENSMUSG00000025261	black
ENSMUSG00000025544	black
ENSMUSG00000025579	black
ENSMUSG00000025607	black
ENSMUSG00000025795	black
ENSMUSG00000025809	black
ENSMUSG00000025862	black
ENSMUSG00000025949	black
ENSMUSG00000026028	black
ENSMUSG00000026031	black
ENSMUSG00000026074	black
ENSMUSG00000026112	black
ENSMUSG00000026131	black
ENSMUSG00000026159	black
ENSMUSG00000026219	black
ENSMUSG00000026276	black
ENSMUSG00000026277	black
ENSMUSG00000026341	black
ENSMUSG00000026393	black
ENSMUSG00000026478	black
ENSMUSG00000026554	black
ENSMUSG00000026618	black
ENSMUSG00000026657	black
ENSMUSG00000026667	black
ENSMUSG00000026739	black
ENSMUSG00000026767	black
ENSMUSG00000026775	black
ENSMUSG00000026782	black
ENSMUSG00000026790	black
ENSMUSG00000026842	black
ENSMUSG00000026977	black
ENSMUSG00000027006	black
ENSMUSG00000027087	black
ENSMUSG00000027109	black
ENSMUSG00000027162	black
ENSMUSG00000027184	black
ENSMUSG00000027189	black
ENSMUSG00000027193	black
ENSMUSG00000027201	black
ENSMUSG00000027206	black
ENSMUSG00000027210	black
ENSMUSG00000027247	black
ENSMUSG00000027303	black
ENSMUSG00000027351	black
ENSMUSG00000027365	black
ENSMUSG00000027367	black
ENSMUSG00000027379	black
ENSMUSG00000027433	black
ENSMUSG00000027479	black
ENSMUSG00000027615	black
ENSMUSG00000027680	black
ENSMUSG00000027770	black
ENSMUSG00000027774	black
ENSMUSG00000027775	black
ENSMUSG00000027808	black
ENSMUSG00000027893	black
ENSMUSG00000027940	black
ENSMUSG00000027955	black
ENSMUSG00000028034	black
ENSMUSG00000028132	black
ENSMUSG00000028173	black
ENSMUSG00000028277	black
ENSMUSG00000028284	black
ENSMUSG00000028312	black
ENSMUSG00000028330	black
ENSMUSG00000028381	black
ENSMUSG00000028382	black
ENSMUSG00000028423	black
ENSMUSG00000028426	black
ENSMUSG00000028465	black
ENSMUSG00000028514	black
ENSMUSG00000028530	black
ENSMUSG00000028556	black
ENSMUSG00000028557	black
ENSMUSG00000028559	black
ENSMUSG00000028560	black
ENSMUSG00000028646	black
ENSMUSG00000028649	black
ENSMUSG00000028656	black
ENSMUSG00000028675	black
ENSMUSG00000028676	black
ENSMUSG00000028719	black
ENSMUSG00000028759	black
ENSMUSG00000028760	black
ENSMUSG00000028809	black
ENSMUSG00000028820	black
ENSMUSG00000028953	black
ENSMUSG00000028962	black
ENSMUSG00000029106	black
ENSMUSG00000029110	black
ENSMUSG00000029147	black
ENSMUSG00000029169	black
ENSMUSG00000029202	black
ENSMUSG00000029247	black
ENSMUSG00000029328	black
ENSMUSG00000029405	black
ENSMUSG00000029472	black
ENSMUSG00000029571	black
ENSMUSG00000029684	black
ENSMUSG00000029686	black
ENSMUSG00000029701	black
ENSMUSG00000029767	black
ENSMUSG00000029775	black
ENSMUSG00000029816	black
ENSMUSG00000029823	black
ENSMUSG00000029826	black
ENSMUSG00000029840	black
ENSMUSG00000029992	black
ENSMUSG00000030002	black
ENSMUSG00000030058	black
ENSMUSG00000030059	black
ENSMUSG00000030061	black
ENSMUSG00000030082	black
ENSMUSG00000030091	black
ENSMUSG00000030096	black
ENSMUSG00000030105	black
ENSMUSG00000030123	black
ENSMUSG00000030138	black
ENSMUSG00000030201	black
ENSMUSG00000030232	black
ENSMUSG00000030275	black
ENSMUSG00000030421	black
ENSMUSG00000030435	black
ENSMUSG00000030447	black
ENSMUSG00000030536	black
ENSMUSG00000030655	black
ENSMUSG00000030662	black
ENSMUSG00000030753	black
ENSMUSG00000030754	black
ENSMUSG00000030770	black
ENSMUSG00000030779	black
ENSMUSG00000030795	black
