OE2_1	OE2_2	OE3_2	OE3_3	OE4_1	OE4_2	OB2_1	OB2_2	OB3_1	OB3_2	OB4_1	OB4_2	OB5_1	OB5_2
T cells	33.8943796198154	14.3478724811443	33.4172410466347	13.6570367732623	6.01905516038009	1.57451785010765	8.85325160671482	5.38265443879357	6.95322256651823	2.03125223255684	0.640226506359838	0	1.3039860933064	0.727465155303925
B derived	44.3234195028355	83.3970087966512	11.9347289452267	69.650887543638	57.1810240236109	24.4050266766686	25.1764342565953	20.0354359666205	17.6991119875009	12.5260554341005	48.3371012301677	28.6473653942183	20.5377809695759	24.0063501250295
Monocytes / macrophages	315.478456461359	66.3589102252924	128.895072608448	565.401322413061	97.5086935981575	357.415551974437	71.3793410791383	80.1417438664821	48.6725579656276	7.44792485270841	7.68271807631805	25.0252847121907	49.5514715456434	8.72958186364711
Monocytes	219.009837543423	355.109843908321	212.438175225035	241.729550886744	382.811908200174	318.052605721746	664.547198729031	736.825585399298	493.678802222794	385.26084010828	421.269041184773	549.239143420185	492.906743269821	328.08678504207
Eosinophils	2.60725997075503	1.79348406014304	0	0	6.01905516038009	0	8.29992338129515	11.3633815930087	3.79266685446449	12.86459747286	15.3654361526361	11.1955221080853	18.2558053062897	1.45493031060785
Basophils	80.825059093406	8.96742030071518	26.2564036794987	20.4855551598935	8.42667722453213	11.0216249507536	17.15317498801	16.7460360318022	36.0303351174126	15.5729337829358	9.60339759539756	19.0982435961455	24.7757357728217	25.4612804356374
Vessels	91.2540989764261	95.054655187581	23.8694578904534	225.341106758829	110.750614950994	86.5984817559208	130.585461199044	105.260797914185	91.6561156495585	41.9792128061747	78.74786028226	80.3443351286123	48.247485452337	114.212029382716
Endothelial cells	18.2508197952852	30.4892290224316	19.0955663123627	99.6963684448151	20.4647875452923	44.0864998030142	37.0729911031183	28.1094176248109	25.9165568388407	14.8958497054168	16.0056626589959	17.7811233481355	15.6478331196769	57.4697472690101
Fibroblasts	59.9669793273657	37.6631652630038	10.741256050704	122.913330959361	87.8782053415494	79.5131514304364	7.74659515587547	11.3633815930087	19.2793898435278	19.6354382480494	36.1727976093308	23.7081644641807	32.5996523326601	31.6447342557208
